"","logFC.Agegroup.","Pvalues","adjPvalues"
"XM_024449807.1",-0.29517616903572,0.479592133914977,0.638261553576175
"XM_011540536.3",-0.237949482550716,0.499296220603304,0.649694690645202
"XM_011510058.3",-0.251588800092465,0.319996286736561,0.58193741763079
"NM_003568.3",-0.279403224293644,0.341819350437209,0.591021307642899
"NM_030806.4",-0.278852825470163,0.168037031348024,0.549307502251699
"NM_001305275.2",-0.0806879105313122,0.705854232705087,0.763227917540922
"NM_001364727.2",-0.158850800751239,0.703142834091222,0.761511861410771
"NM_007274.3",-0.660657708921509,0.113356819295408,0.549307502251699
"XM_017000774.2",-0.302797093973651,0.289622594694648,0.576279778478858
"XM_011541080.3",-0.151357260650064,0.619272834833077,0.707043787801544
"NM_001099439.2",-0.256877869886089,0.291917720164341,0.576279778478858
"NM_001159969.2",-0.342438351206373,0.389212036608065,0.604040512595837
"XR_002959846.1",-0.249931180831884,0.216187478370884,0.563194774265304
"NR_110628.1",0.0421512276885892,0.943854860886908,0.951565825333577
"NM_001037340.2",-0.351004001148434,0.321303379069936,0.58193741763079
"NM_006820.4",-0.323114735661876,0.322521575422606,0.58193741763079
"NM_012262.4",-0.335359564133037,0.0496760178669179,0.545909611026749
"NR_034089.1",-0.183743003615748,0.367814964430495,0.597215328419853
"XR_002956654.1",-0.286791758713859,0.305405926577774,0.578010053867959
"NR_144516.1",0.465672934178605,0.162441088972236,0.549307502251699
"NM_014455.4",-0.268178789479523,0.290026337776623,0.576279778478858
"NR_103556.2",0.30444273727976,0.143810946781808,0.549307502251699
"NM_020205.4",-0.226961717318388,0.434080516970714,0.620726577522224
"NM_020423.7",-0.287561877414681,0.13602634891815,0.549307502251699
"XM_017000982.2",-0.279622906962344,0.497359272104918,0.648436013464203
"NM_018136.5",-0.250915794718758,0.632126156902499,0.714406022999706
"NM_014053.4",-0.285007435856139,0.107305718489642,0.549307502251699
"NM_012414.4",-0.302095962326176,0.135368357468873,0.549307502251699
"NM_018012.4",0.121218777725208,0.825930445408414,0.854207664652068
"NM_022834.5",-0.198191632577558,0.504788203660598,0.650830250861731
"NM_014188.3",-0.212554899891045,0.197044508349523,0.558773997767035
"NM_015557.3",-0.177012911695807,0.698814678067695,0.759012197152178
"NM_024654.5",-0.234394548879927,0.0447368783452181,0.532022757404058
"NR_132742.1",-0.271290477143804,0.345826355043336,0.591021307642899
"NM_025106.4",-0.259270179798442,0.263519543512877,0.570619246639045
"NM_032315.3",-0.174290533855188,0.183103043670853,0.552516556007626
"NM_015001.3",-0.238334299763698,0.297063102203924,0.576279778478858
"NR_027504.1",-0.100855715236896,0.719767160018263,0.773512975376307
"NM_003000.3",-0.283845995411971,0.0172711739597509,0.365594193308596
"NM_001135254.2",-0.392100517347942,0.455526680192425,0.628761243483119
"XR_001737482.2",-0.318674474614318,0.182080911320373,0.552516556007626
"NM_013943.3",-0.295654716705888,0.299118916519806,0.576279778478858
"NR_024498.1",-0.236210479416282,0.345469186020135,0.591021307642899
"NM_005517.4",0.376344739174187,0.0632722931079218,0.545909611026749
"NM_006015.6",-0.192364288779692,0.522034548753386,0.657788482026861
"NM_005281.4",-0.315955424252364,0.198208298792721,0.559438789746041
"NM_177424.3",-0.282694295085094,0.106568423994983,0.549307502251699
"NM_000911.4",-0.345614645198456,0.39846671544089,0.606217456641087
"XM_017002320.1",-0.128991148104641,0.415980253540128,0.612293419682432
"XM_006710681.4",-0.270064691257973,0.360656399836404,0.593757342904099
"NM_001625.4",-0.298290347568853,0.120262938712283,0.549307502251699
"NM_018207.3",-0.0978740445336622,0.728088789047582,0.779423214558135
"NM_007167.4",-0.317948492313628,0.0700083319642211,0.549307502251699
"XM_017002373.2",-0.221963600178444,0.406906495708604,0.608272101793166
"NM_000831.4",-0.261191002235213,0.486966313166755,0.641422497669252
"NM_012090.5",-0.253868380487599,0.0643672924578166,0.545909611026749
"NM_014747.3",-0.378483049573134,0.397399138306527,0.605829644282888
"NM_003738.5",-0.188807655005804,0.228781648889094,0.568279898739505
"NM_001441.3",-0.249776874840607,0.185244300367709,0.553142992944803
"NM_007051.3",-0.260554254487974,0.192535232009368,0.558773997767035
"NM_014372.5",-0.295987740422777,0.0940105300463468,0.549307502251699
"NM_015913.4",-0.313122797241739,0.0198512608428304,0.393754811358175
"XM_011542437.2",-0.270807222241891,0.154632051117934,0.549307502251699
"NM_023077.3",-0.269329203479555,0.280195195031818,0.574369618845062
"NM_024646.3",-0.272119346421462,0.606634624223384,0.700055873556631
"NM_017887.3",-0.274018360869532,0.280850585589889,0.574515644884326
"NR_146508.1",-0.0234923692634736,0.964732543932067,0.970084735576628
"NM_001272002.2",-0.316696457974888,0.173943488731046,0.549307502251699
"NM_001256864.2",-0.367853174481807,0.22018675115132,0.563219710956398
"NM_198715.3",-0.411598983376443,0.43887479826028,0.623127642344278
"NM_173808.3",-0.325840925735829,0.501737127333736,0.650150879923072
"XR_001737460.2",-0.228851235896294,0.60234246160421,0.697238093484848
"NM_005482.3",-0.29973332206431,0.142066083356668,0.549307502251699
